Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_QName,Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,Geo_PLACESE,Geo_UACP,Geo_VTD,Geo_ZCTA3,Geo_TAZ,Geo_UGA,Geo_PUMA1,SE_A10001_001,SE_A00001_001,SE_A10008_001,SE_A10008_002,SE_A10008_003,SE_A10008_004,SE_A10008_005,SE_A10008_006,SE_A10008_007,SE_A10008_008,SE_A10008_009,PCT_SE_A10008_002,PCT_SE_A10008_003,PCT_SE_A10008_004,PCT_SE_A10008_005,PCT_SE_A10008_006,PCT_SE_A10008_007,PCT_SE_A10008_008,PCT_SE_A10008_009,SE_A10024_001,SE_A10024_002,SE_A10024_003,SE_A10024_004,SE_A10024_005,SE_A10024_006,SE_A10024_007,SE_A10024_008,PCT_SE_A10024_002,PCT_SE_A10024_003,PCT_SE_A10024_004,PCT_SE_A10024_005,PCT_SE_A10024_006,PCT_SE_A10024_007,PCT_SE_A10024_008,SE_A10003_001,SE_A10060_001,SE_A10060_002,SE_A10060_003,PCT_SE_A10060_002,PCT_SE_A10060_003,SE_B10060_001,SE_B10060_002,SE_B10060_003,PCT_SE_B10060_002,PCT_SE_B10060_003,SE_A10044_001,SE_A10044_002,SE_A10044_003,PCT_SE_A10044_002,PCT_SE_A10044_003,SE_A10047_001,SE_A10047_002,SE_A10047_003,SE_A10047_004,PCT_SE_A10047_002,PCT_SE_A10047_003,PCT_SE_A10047_004,SE_A10032_001,SE_A10032_002,SE_A10032_003,SE_A10032_004,SE_A10032_005,SE_A10032_006,SE_A10032_007,SE_A10032_008,SE_A10032_009,SE_A10032_010,SE_A10032_011,SE_A10032_012,PCT_SE_A10032_002,PCT_SE_A10032_003,PCT_SE_A10032_004,PCT_SE_A10032_005,PCT_SE_A10032_006,PCT_SE_A10032_007,PCT_SE_A10032_008,PCT_SE_A10032_009,PCT_SE_A10032_010,PCT_SE_A10032_011,PCT_SE_A10032_012,SE_A10055_001,SE_A10055_002,SE_A10055_003,SE_A10055_004,SE_A10055_005,SE_A10055_006,SE_A10055_007,SE_A10055_008,SE_A10055_009,SE_A10055_010,SE_A10055_011,PCT_SE_A10055_002,PCT_SE_A10055_003,PCT_SE_A10055_004,PCT_SE_A10055_005,PCT_SE_A10055_006,PCT_SE_A10055_007,PCT_SE_A10055_008,PCT_SE_A10055_009,PCT_SE_A10055_010,PCT_SE_A10055_011,SE_A10036_001,SE_A18001_001,SE_A18001_002,SE_A18001_003,SE_A18001_004,SE_A18001_005,SE_A18001_006,SE_A18001_007,SE_A18001_008,SE_A18001_009,PCT_SE_A18001_002,PCT_SE_A18001_003,PCT_SE_A18001_004,PCT_SE_A18001_005,PCT_SE_A18001_006,PCT_SE_A18001_007,PCT_SE_A18001_008,PCT_SE_A18001_009,SE_A18009_001
"ACSSF","pa","140","00","0008870",,,,,"42","101",,,"005600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101005600","Census Tract 56",,,"Census Tract 56, Philadelphia County, Pennsylvania","42101005600","840413","0",,,,,,,,727,1171,662,269,94,175,28,147,393,129,264,40.63,14.2,26.44,4.23,22.21,59.37,19.49,39.88,662,318,246,75,23,0,0,0,48.04,37.16,11.33,3.47,0,0,0,1.77,662,67,595,10.12,89.88,67,0,67,0,100,727,662,65,91.06,8.94,65,0,0,65,0,0,100,727,188,34,154,206,221,2,17,48,45,0,0,25.86,4.68,21.18,28.34,30.4,0.28,2.34,6.6,6.19,0,0,662,0,39,17,91,41,229,52,29,60,104,0,5.89,2.57,13.75,6.19,34.59,7.85,4.38,9.06,15.71,98700,590,74,76,2,91,136,145,66,0,12.54,12.88,0.34,15.42,23.05,24.58,11.19,0,1096
"ACSSF","pa","140","00","0008871",,,,,"42","101",,,"006000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101006000","Census Tract 60",,,"Census Tract 60, Philadelphia County, Pennsylvania","42101006000","1071395","0",,,,,,,,2693,6239,2400,1571,541,1030,210,820,829,203,626,65.46,22.54,42.92,8.75,34.17,34.54,8.46,26.08,2400,687,796,342,300,142,74,59,28.62,33.17,14.25,12.5,5.92,3.08,2.46,2.6,2400,1426,974,59.42,40.58,1426,254,1172,17.81,82.19,2693,2400,293,89.12,10.88,293,185,62,46,63.14,21.16,15.7,2693,2234,148,2086,205,94,0,0,88,72,0,0,82.96,5.5,77.46,7.61,3.49,0,0,3.27,2.67,0,0,2400,0,54,0,0,17,292,652,301,273,811,0,2.25,0,0,0.71,12.17,27.17,12.54,11.38,33.79,155200,919,17,0,49,177,514,34,128,0,1.85,0,5.33,19.26,55.93,3.7,13.93,0,1105
"ACSSF","pa","140","00","0008872",,,,,"42","101",,,"006100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101006100","Census Tract 61",,,"Census Tract 61, Philadelphia County, Pennsylvania","42101006100","535234","0",,,,,,,,1303,2784,1193,682,257,425,72,353,511,154,357,57.17,21.54,35.62,6.04,29.59,42.83,12.91,29.92,1193,502,247,243,113,79,0,9,42.08,20.7,20.37,9.47,6.62,0,0.75,2.33,1193,832,361,69.74,30.26,832,99,733,11.9,88.1,1303,1193,110,91.56,8.44,110,36,0,74,32.73,0,67.27,1303,1116,96,1020,53,92,0,0,0,0,42,0,85.65,7.37,78.28,4.07,7.06,0,0,0,0,3.22,0,1193,0,0,0,0,37,29,545,201,154,227,0,0,0,0,3.1,2.43,45.68,16.85,12.91,19.03,120400,361,0,87,97,40,121,0,16,0,0,24.1,26.87,11.08,33.52,0,4.43,0,748
"ACSSF","pa","140","00","0008873",,,,,"42","101",,,"006200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101006200","Census Tract 62",,,"Census Tract 62, Philadelphia County, Pennsylvania","42101006200","509635","0",,,,,,,,1653,4252,1544,1003,560,443,103,340,541,291,250,64.96,36.27,28.69,6.67,22.02,35.04,18.85,16.19,1544,481,440,231,169,181,42,0,31.15,28.5,14.96,10.95,11.72,2.72,0,2.75,1544,617,927,39.96,60.04,617,132,485,21.39,78.61,1653,1544,109,93.41,6.59,109,91,0,18,83.49,0,16.51,1653,1502,113,1389,82,34,0,35,0,0,0,0,90.87,6.84,84.03,4.96,2.06,0,2.12,0,0,0,0,1544,0,0,0,22,35,0,116,226,432,713,0,0,0,1.42,2.27,0,7.51,14.64,27.98,46.18,87600,913,36,21,82,58,394,322,0,0,3.94,2.3,8.98,6.35,43.15,35.27,0,0,1165
"ACSSF","pa","140","00","0008874",,,,,"42","101",,,"006300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101006300","Census Tract 63",,,"Census Tract 63, Philadelphia County, Pennsylvania","42101006300","555597","0",,,,,,,,1936,4069,1523,784,95,689,162,527,739,310,429,51.48,6.24,45.24,10.64,34.6,48.52,20.35,28.17,1523,633,298,293,169,97,14,19,41.56,19.57,19.24,11.1,6.37,0.92,1.25,2.43,1523,478,1045,31.39,68.61,478,39,439,8.16,91.84,1936,1523,413,78.67,21.33,413,60,0,353,14.53,0,85.47,1936,1484,69,1415,261,106,0,0,20,42,23,0,76.65,3.56,73.09,13.48,5.48,0,0,1.03,2.17,1.19,0,1523,0,44,124,40,75,51,163,291,106,629,0,2.89,8.14,2.63,4.92,3.35,10.7,19.11,6.96,41.3,66200,993,95,112,21,181,342,87,155,0,9.57,11.28,2.11,18.23,34.44,8.76,15.61,0,1064
"ACSSF","pa","140","00","0008875",,,,,"42","101",,,"006400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101006400","Census Tract 64",,,"Census Tract 64, Philadelphia County, Pennsylvania","42101006400","642367","16085",,,,,,,,1714,4711,1630,1177,415,762,135,627,453,233,220,72.21,25.46,46.75,8.28,38.47,27.79,14.29,13.5,1630,421,406,191,392,113,19,88,25.83,24.91,11.72,24.05,6.93,1.17,5.4,2.89,1630,994,636,60.98,39.02,994,167,827,16.8,83.2,1714,1630,84,95.1,4.9,84,35,16,33,41.67,19.05,39.29,1714,1608,99,1509,88,18,0,0,0,0,0,0,93.82,5.78,88.04,5.13,1.05,0,0,0,0,0,0,1630,0,32,11,0,0,136,73,215,250,913,0,1.96,0.67,0,0,8.34,4.48,13.19,15.34,56.01,83200,628,0,52,56,186,143,191,0,0,0,8.28,8.92,29.62,22.77,30.41,0,0,1035
"ACSSF","pa","140","00","0008876",,,,,"42","101",,,"006500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101006500","Census Tract 65",,,"Census Tract 65, Philadelphia County, Pennsylvania","42101006500","1114276","29457",,,,,,,,2181,4270,1640,759,236,523,60,463,881,305,576,46.28,14.39,31.89,3.66,28.23,53.72,18.6,35.12,1640,718,540,50,128,148,16,40,43.78,32.93,3.05,7.8,9.02,0.98,2.44,2.6,1640,854,786,52.07,47.93,854,16,838,1.87,98.13,2181,1640,541,75.19,24.81,541,161,0,380,29.76,0,70.24,2181,1809,136,1673,196,71,17,21,29,38,0,0,82.94,6.24,76.71,8.99,3.26,0.78,0.96,1.33,1.74,0,0,1640,0,28,37,21,0,55,117,73,170,1139,0,1.71,2.26,1.28,0,3.35,7.13,4.45,10.37,69.45,89100,725,18,88,92,117,166,184,60,0,2.48,12.14,12.69,16.14,22.9,25.38,8.28,0,1072
"ACSSF","pa","140","00","0008877",,,,,"42","101",,,"006600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101006600","Census Tract 66",,,"Census Tract 66, Philadelphia County, Pennsylvania","42101006600","651243","0",,,,,,,,1635,3536,1329,722,236,486,68,418,607,318,289,54.33,17.76,36.57,5.12,31.45,45.67,23.93,21.75,1329,587,333,126,103,84,43,53,44.17,25.06,9.48,7.75,6.32,3.24,3.99,2.65,1329,448,881,33.71,66.29,448,61,387,13.62,86.38,1635,1329,306,81.28,18.72,306,90,0,216,29.41,0,70.59,1635,1262,124,1138,182,20,44,0,12,91,24,0,77.19,7.58,69.6,11.13,1.22,2.69,0,0.73,5.57,1.47,0,1329,0,94,6,24,21,95,78,109,222,680,0,7.07,0.45,1.81,1.58,7.15,5.87,8.2,16.7,51.17,70900,862,28,127,179,291,220,17,0,0,3.25,14.73,20.77,33.76,25.52,1.97,0,0,906
"ACSSF","pa","140","00","0008878",,,,,"42","101",,,"006700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101006700","Census Tract 67",,,"Census Tract 67, Philadelphia County, Pennsylvania","42101006700","1001468","0",,,,,,,,3238,7901,2908,1699,462,1237,341,896,1209,635,574,58.43,15.89,42.54,11.73,30.81,41.57,21.84,19.74,2908,948,707,670,205,247,14,117,32.6,24.31,23.04,7.05,8.49,0.48,4.02,2.71,2908,1277,1631,43.91,56.09,1277,112,1165,8.77,91.23,3238,2908,330,89.81,10.19,330,0,80,250,0,24.24,75.76,3238,2699,85,2614,169,92,23,62,42,73,78,0,83.35,2.63,80.73,5.22,2.84,0.71,1.91,1.3,2.25,2.41,0,2908,0,18,15,109,220,35,151,462,393,1505,0,0.62,0.52,3.75,7.57,1.2,5.19,15.89,13.51,51.75,85400,1529,28,197,0,77,556,342,309,20,1.83,12.88,0,5.04,36.36,22.37,20.21,1.31,1208
"ACSSF","pa","140","00","0008879",,,,,"42","101",,,"007000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101007000","Census Tract 70",,,"Census Tract 70, Philadelphia County, Pennsylvania","42101007000","469586","0",,,,,,,,1732,3620,1467,892,337,555,143,412,575,158,417,60.8,22.97,37.83,9.75,28.08,39.2,10.77,28.43,1467,532,431,227,196,48,33,0,36.26,29.38,15.47,13.36,3.27,2.25,0,2.47,1467,741,726,50.51,49.49,741,0,741,0,100,1732,1467,265,84.7,15.3,265,96,0,169,36.23,0,63.77,1732,1607,118,1489,90,35,0,0,0,0,0,0,92.78,6.81,85.97,5.2,2.02,0,0,0,0,0,0,1467,0,33,0,0,0,161,78,301,178,716,0,2.25,0,0,0,10.97,5.32,20.52,12.13,48.81,73500,713,0,65,84,144,334,8,78,0,0,9.12,11.78,20.2,46.84,1.12,10.94,0,1048
"ACSSF","pa","140","00","0008880",,,,,"42","101",,,"007101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101007101","Census Tract 71.01",,,"Census Tract 71.01, Philadelphia County, Pennsylvania","42101007101","253257","0",,,,,,,,1099,2642,809,561,114,447,75,372,248,118,130,69.34,14.09,55.25,9.27,45.98,30.66,14.59,16.07,809,156,204,267,128,22,20,12,19.28,25.22,33,15.82,2.72,2.47,1.48,3.11,809,345,464,42.65,57.35,345,2,343,0.58,99.42,1099,809,290,73.61,26.39,290,63,12,215,21.72,4.14,74.14,1099,935,29,906,132,32,0,0,0,0,0,0,85.08,2.64,82.44,12.01,2.91,0,0,0,0,0,0,809,0,0,3,22,20,21,52,179,33,479,0,0,0.37,2.72,2.47,2.6,6.43,22.13,4.08,59.21,69000,412,0,20,6,173,162,25,0,26,0,4.85,1.46,41.99,39.32,6.07,0,6.31,1011
"ACSSF","pa","140","00","0008881",,,,,"42","101",,,"007102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101007102","Census Tract 71.02",,,"Census Tract 71.02, Philadelphia County, Pennsylvania","42101007102","415761","0",,,,,,,,2060,4436,1719,865,288,577,74,503,854,213,641,50.32,16.75,33.57,4.3,29.26,49.68,12.39,37.29,1719,755,320,283,126,168,48,19,43.92,18.62,16.46,7.33,9.77,2.79,1.11,2.58,1719,946,773,55.03,44.97,946,47,899,4.97,95.03,2060,1719,341,83.45,16.55,341,64,0,277,18.77,0,81.23,2060,1954,119,1835,89,0,10,0,0,7,0,0,94.85,5.78,89.08,4.32,0,0.49,0,0,0.34,0,0,1719,0,0,0,10,0,51,57,487,185,929,0,0,0,0.58,0,2.97,3.32,28.33,10.76,54.04,74400,669,19,28,123,143,139,157,60,0,2.84,4.19,18.39,21.38,20.78,23.47,8.97,0,1039
"ACSSF","pa","140","00","0008882",,,,,"42","101",,,"007200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101007200","Census Tract 72",,,"Census Tract 72, Philadelphia County, Pennsylvania","42101007200","502743","0",,,,,,,,1943,4486,1618,797,251,546,102,444,821,239,582,49.26,15.51,33.75,6.3,27.44,50.74,14.77,35.97,1618,721,250,378,129,82,0,58,44.56,15.45,23.36,7.97,5.07,0,3.58,2.75,1618,743,875,45.92,54.08,743,17,726,2.29,97.71,1943,1618,325,83.27,16.73,325,148,25,152,45.54,7.69,46.77,1943,1810,150,1660,110,12,0,0,0,11,0,0,93.15,7.72,85.43,5.66,0.62,0,0,0,0.57,0,0,1618,0,0,0,68,0,38,82,120,194,1116,0,0,0,4.2,0,2.35,5.07,7.42,11.99,68.97,76000,773,43,11,83,230,112,168,113,13,5.56,1.42,10.74,29.75,14.49,21.73,14.62,1.68,1044
"ACSSF","pa","140","00","0008883",,,,,"42","101",,,"007300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101007300","Census Tract 73",,,"Census Tract 73, Philadelphia County, Pennsylvania","42101007300","386471","0",,,,,,,,1502,3173,1309,645,211,434,49,385,664,346,318,49.27,16.12,33.16,3.74,29.41,50.73,26.43,24.29,1309,492,480,201,8,22,97,9,37.59,36.67,15.36,0.61,1.68,7.41,0.69,2.42,1309,661,648,50.5,49.5,661,183,478,27.69,72.31,1502,1309,193,87.15,12.85,193,23,43,127,11.92,22.28,65.8,1502,1002,136,866,203,186,47,0,10,54,0,0,66.71,9.05,57.66,13.52,12.38,3.13,0,0.67,3.6,0,0,1309,0,33,0,40,25,11,137,72,121,870,0,2.52,0,3.06,1.91,0.84,10.47,5.5,9.24,66.46,242300,625,0,0,96,136,168,71,70,84,0,0,15.36,21.76,26.88,11.36,11.2,13.44,1120
"ACSSF","pa","140","00","0008884",,,,,"42","101",,,"007400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101007400","Census Tract 74",,,"Census Tract 74, Philadelphia County, Pennsylvania","42101007400","676057","0",,,,,,,,2195,4535,1792,783,232,551,25,526,1009,493,516,43.69,12.95,30.75,1.4,29.35,56.31,27.51,28.79,1792,855,308,261,230,68,25,45,47.71,17.19,14.56,12.83,3.79,1.4,2.51,2.51,1792,809,983,45.15,54.85,809,150,659,18.54,81.46,2195,1792,403,81.64,18.36,403,112,0,291,27.79,0,72.21,2195,1738,213,1525,131,109,0,45,0,172,0,0,79.18,9.7,69.48,5.97,4.97,0,2.05,0,7.84,0,0,1792,0,46,179,0,10,67,132,203,191,964,0,2.57,9.99,0,0.56,3.74,7.37,11.33,10.66,53.79,95600,947,105,129,91,132,135,156,185,14,11.09,13.62,9.61,13.94,14.26,16.47,19.54,1.48,1031
"ACSSF","pa","140","00","0008885",,,,,"42","101",,,"007700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101007700","Census Tract 77",,,"Census Tract 77, Philadelphia County, Pennsylvania","42101007700","322266","0",,,,,,,,823,1991,728,243,154,89,38,51,485,196,289,33.38,21.15,12.23,5.22,7.01,66.62,26.92,39.7,728,323,290,68,32,15,0,0,44.37,39.84,9.34,4.4,2.06,0,0,1.81,728,94,634,12.91,87.09,94,45,49,47.87,52.13,823,728,95,88.46,11.54,95,19,0,76,20,0,80,823,216,6,210,78,122,71,10,216,110,0,0,26.25,0.73,25.52,9.48,14.82,8.63,1.22,26.25,13.37,0,0,728,0,34,0,8,64,75,62,55,32,398,0,4.67,0,1.1,8.79,10.3,8.52,7.55,4.4,54.67,314800,628,0,5,17,252,137,53,72,92,0,0.8,2.71,40.13,21.82,8.44,11.46,14.65,1073
"ACSSF","pa","140","00","0008886",,,,,"42","101",,,"007800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101007800","Census Tract 78",,,"Census Tract 78, Philadelphia County, Pennsylvania","42101007800","426722","0",,,,,,,,2307,4232,2130,578,395,183,43,140,1552,845,707,27.14,18.54,8.59,2.02,6.57,72.86,39.67,33.19,2130,1045,702,230,83,37,33,0,49.06,32.96,10.8,3.9,1.74,1.55,0,1.89,2130,516,1614,24.23,75.77,516,326,190,63.18,36.82,2307,2130,177,92.33,7.67,177,144,0,33,81.36,0,18.64,2307,639,77,562,225,545,357,256,201,84,0,0,27.7,3.34,24.36,9.75,23.62,15.47,11.1,8.71,3.64,0,0,2130,0,13,27,19,117,211,39,84,90,1530,0,0.61,1.27,0.89,5.49,9.91,1.83,3.94,4.23,71.83,514900,1614,0,0,161,536,346,239,249,83,0,0,9.98,33.21,21.44,14.81,15.43,5.14,1079
"ACSSF","pa","140","00","0008887",,,,,"42","101",,,"007900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101007900","Census Tract 79",,,"Census Tract 79, Philadelphia County, Pennsylvania","42101007900","377951","0",,,,,,,,2307,4321,2204,906,806,100,24,76,1298,434,864,41.11,36.57,4.54,1.09,3.45,58.89,19.69,39.2,2204,877,908,88,294,21,14,2,39.79,41.2,3.99,13.34,0.95,0.64,0.09,1.96,2204,943,1261,42.79,57.21,943,471,472,49.95,50.05,2307,2204,103,95.54,4.46,103,53,0,50,51.46,0,48.54,2307,979,58,921,187,371,241,71,350,108,0,0,42.44,2.51,39.92,8.11,16.08,10.45,3.08,15.17,4.68,0,0,2204,0,0,27,26,148,93,28,254,84,1544,0,0,1.23,1.18,6.72,4.22,1.27,11.52,3.81,70.05,493300,1207,0,0,102,329,304,242,155,75,0,0,8.45,27.26,25.19,20.05,12.84,6.21,1142
"ACSSF","pa","140","00","0008888",,,,,"42","101",,,"008000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101008000","Census Tract 80",,,"Census Tract 80, Philadelphia County, Pennsylvania","42101008000","430891","0",,,,,,,,1976,4045,1745,815,440,375,50,325,930,347,583,46.7,25.21,21.49,2.87,18.62,53.3,19.89,33.41,1745,697,570,236,123,64,54,1,39.94,32.66,13.52,7.05,3.67,3.09,0.06,2.3,1745,866,879,49.63,50.37,866,200,666,23.09,76.91,1976,1745,231,88.31,11.69,231,58,0,173,25.11,0,74.89,1976,1261,238,1023,284,400,16,0,9,0,6,0,63.82,12.04,51.77,14.37,20.24,0.81,0,0.46,0,0.3,0,1745,0,0,36,22,0,199,118,110,132,1128,0,0,2.06,1.26,0,11.4,6.76,6.3,7.56,64.64,256400,868,46,0,38,75,240,261,161,47,5.3,0,4.38,8.64,27.65,30.07,18.55,5.41,1284
"ACSSF","pa","140","00","0008889",,,,,"42","101",,,"008101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101008101","Census Tract 81.01",,,"Census Tract 81.01, Philadelphia County, Pennsylvania","42101008101","243881","0",,,,,,,,1283,3320,1075,870,335,535,133,402,205,120,85,80.93,31.16,49.77,12.37,37.4,19.07,11.16,7.91,1075,156,444,71,278,60,66,0,14.51,41.3,6.6,25.86,5.58,6.14,0,3.09,1075,568,507,52.84,47.16,568,14,554,2.46,97.54,1283,1075,208,83.79,16.21,208,0,0,208,0,0,100,1283,1004,93,911,162,35,0,25,57,0,0,0,78.25,7.25,71.01,12.63,2.73,0,1.95,4.44,0,0,0,1075,0,0,0,0,112,9,39,242,57,616,0,0,0,0,10.42,0.84,3.63,22.51,5.3,57.3,103400,404,37,28,95,105,52,52,35,0,9.16,6.93,23.51,25.99,12.87,12.87,8.66,0,840
"ACSSF","pa","140","00","0008890",,,,,"42","101",,,"008102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101008102","Census Tract 81.02",,,"Census Tract 81.02, Philadelphia County, Pennsylvania","42101008102","362526","0",,,,,,,,2414,4636,2022,1070,559,511,115,396,952,440,512,52.92,27.65,25.27,5.69,19.58,47.08,21.76,25.32,2022,891,370,339,320,25,43,34,44.07,18.3,16.77,15.83,1.24,2.13,1.68,2.29,2022,1348,674,66.67,33.33,1348,118,1230,8.75,91.25,2414,2022,392,83.76,16.24,392,40,122,230,10.2,31.12,58.67,2414,2210,67,2143,172,0,0,0,0,0,32,0,91.55,2.78,88.77,7.13,0,0,0,0,0,1.33,0,2022,0,14,0,0,0,52,152,195,401,1208,0,0.69,0,0,0,2.57,7.52,9.64,19.83,59.74,108600,614,46,58,55,98,255,85,17,0,7.49,9.45,8.96,15.96,41.53,13.84,2.77,0,1049
"ACSSF","pa","140","00","0008891",,,,,"42","101",,,"008200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101008200","Census Tract 82",,,"Census Tract 82, Philadelphia County, Pennsylvania","42101008200","832282","11202",,,,,,,,3395,6911,2998,1547,401,1146,107,1039,1451,368,1083,51.6,13.38,38.23,3.57,34.66,48.4,12.27,36.12,2998,1339,729,481,277,91,21,60,44.66,24.32,16.04,9.24,3.04,0.7,2,2.3,2998,2033,965,67.81,32.19,2033,0,2033,0,100,3395,2998,397,88.31,11.69,397,43,0,354,10.83,0,89.17,3395,2893,279,2614,362,70,70,0,0,0,0,0,85.21,8.22,77,10.66,2.06,2.06,0,0,0,0,0,2998,0,0,20,70,21,90,102,291,746,1658,0,0,0.67,2.33,0.7,3,3.4,9.71,24.88,55.3,124300,947,0,17,67,317,164,382,0,0,0,1.8,7.07,33.47,17.32,40.34,0,0,1111
"ACSSF","pa","140","00","0008892",,,,,"42","101",,,"008301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101008301","Census Tract 83.01",,,"Census Tract 83.01, Philadelphia County, Pennsylvania","42101008301","510556","6714",,,,,,,,1996,4483,1627,851,167,684,199,485,776,332,444,52.3,10.26,42.04,12.23,29.81,47.7,20.41,27.29,1627,744,347,242,96,178,0,20,45.73,21.33,14.87,5.9,10.94,0,1.23,2.5,1627,726,901,44.62,55.38,726,0,726,0,100,1996,1627,369,81.51,18.49,369,42,0,327,11.38,0,88.62,1996,1394,81,1313,127,0,12,0,45,418,0,0,69.84,4.06,65.78,6.36,0,0.6,0,2.25,20.94,0,0,1627,0,0,0,44,54,49,50,156,566,708,0,0,0,2.7,3.32,3.01,3.07,9.59,34.79,43.52,83900,901,192,141,22,129,253,109,47,8,21.31,15.65,2.44,14.32,28.08,12.1,5.22,0.89,974
"ACSSF","pa","140","00","0008893",,,,,"42","101",,,"008302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101008302","Census Tract 83.02",,,"Census Tract 83.02, Philadelphia County, Pennsylvania","42101008302","425236","0",,,,,,,,2181,4561,1864,982,270,712,124,588,882,380,502,52.68,14.48,38.2,6.65,31.55,47.32,20.39,26.93,1864,838,455,245,205,85,0,36,44.96,24.41,13.14,11,4.56,0,1.93,2.44,1864,795,1069,42.65,57.35,795,10,785,1.26,98.74,2181,1864,317,85.47,14.53,317,20,0,297,6.31,0,93.69,2181,1845,141,1704,254,45,0,37,0,0,0,0,84.59,6.46,78.13,11.65,2.06,0,1.7,0,0,0,0,1864,9,0,28,0,15,102,58,405,341,906,0.48,0,1.5,0,0.8,5.47,3.11,21.73,18.29,48.61,84200,1005,18,86,202,219,123,198,159,0,1.79,8.56,20.1,21.79,12.24,19.7,15.82,0,971
"ACSSF","pa","140","00","0008894",,,,,"42","101",,,"008400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101008400","Census Tract 84",,,"Census Tract 84, Philadelphia County, Pennsylvania","42101008400","501763","0",,,,,,,,1967,5074,1720,1182,322,860,113,747,538,231,307,68.72,18.72,50,6.57,43.43,31.28,13.43,17.85,1720,478,507,223,236,225,51,0,27.79,29.48,12.97,13.72,13.08,2.97,0,2.93,1720,1028,692,59.77,40.23,1028,25,1003,2.43,97.57,1967,1720,247,87.44,12.56,247,19,0,228,7.69,0,92.31,1967,1581,31,1550,154,126,87,0,0,0,19,0,80.38,1.58,78.8,7.83,6.41,4.42,0,0,0,0.97,0,1720,0,0,0,0,10,98,178,189,436,809,0,0,0,0,0.58,5.7,10.35,10.99,25.35,47.03,100000,657,0,46,79,158,129,151,94,0,0,7,12.02,24.05,19.63,22.98,14.31,0,1088
"ACSSF","pa","140","00","0008895",,,,,"42","101",,,"008500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101008500","Census Tract 85",,,"Census Tract 85, Philadelphia County, Pennsylvania","42101008500","621445","0",,,,,,,,3601,6244,3002,1382,365,1017,123,894,1620,651,969,46.04,12.16,33.88,4.1,29.78,53.96,21.69,32.28,3002,1213,1024,594,140,31,0,0,40.41,34.11,19.79,4.66,1.03,0,0,2.06,3002,1133,1869,37.74,62.26,1133,101,1032,8.91,91.09,3601,3002,599,83.37,16.63,599,186,0,413,31.05,0,68.95,3601,1893,202,1691,900,590,169,37,12,0,0,0,52.57,5.61,46.96,24.99,16.38,4.69,1.03,0.33,0,0,0,3002,0,0,0,72,42,324,0,536,353,1675,0,0,0,2.4,1.4,10.79,0,17.85,11.76,55.8,121700,1789,138,223,378,256,315,255,111,113,7.71,12.47,21.13,14.31,17.61,14.25,6.2,6.32,874
