OBJECTID,FISCAL_YEAR_COMPLETE,PROJECT_NAME,DEVELOPER_NAME,ADDRESS,PROJECT_TYPE,TOTAL_UNITS,ACCESSIBLE_UNITS,SENSORY_UNITS,VISITABLE_UNITS
298,2001,Belmont Homes,Friends Rehabilitation Program,4012 RENO ST,Homeownership,10,,,
299,2001,Cecil B. Moore Beechwood,"PHDC, Beech",1616 N 19TH ST,Homeownership,14,,,
300,2001,Francisville VI,"Community Ventures, Francisville CDC",804 N UBER ST,Homeownership,8,,,
301,2001,Homeownership Rehabilitation Program,Various,Scattered,Homeownership,40,,,
302,2001,Homestart Mantua,PHDC,3816-18 FAIRMOUNT AVE,Homeownership,1,,,
303,2001,Homestart Southwest Center City,PHDC,1010 S 18TH ST,Homeownership,1,,,
304,2001,Homestart Soutwest,PHDC,5936 CHESTER AVE,Homeownership,4,,,
305,2001,Homestart Strawberry Mansion,PHDC,1968 N NAPA ST,Homeownership,1,,,
306,2001,New Kensington,New Kensington CDC,2020 E SERGEANT ST,Homeownership,10,,,
307,2001,Partnership Homes II,PEC,5018 WALNUT ST,Homeownership,9,,,
308,2001,Poplar Nehemiah II-B,Poplar Enterprise Dev Corp,1206 PARRISH ST,Homeownership,57,,,
309,2001,Villa III,Nueva Esperanza,1322-40 N HANCOCK ST,Homeownership,7,,,
310,2001,Village Homes,Village of the Arts and Humanities,1012 W HUNTINGDON ST,Homeownership,6,,,
311,2001,Wilmont Meadows,Frankford CDC,1815 WILMOT ST,Homeownership,15,,,
312,2001,YouthBuild,GGHDC,349 HANSBERRY ST,Homeownership,4,,,
313,2000,Brantwood II,"Parkside, Pennrose",4144 PARKSIDE AVE,Rental,16,,,
314,2000,Carl Mackley,"Canus, Altman",1401 E BRISTOL ST,Rental,184,,,
315,2000,Marlton Residences,"Pennrose, We the People",1721-31 MARLTON AVE,Special Needs,25,,,
316,2000,Drueding Center,Drueding Center,413 W MASTER ST,Special Needs,0,,,
317,2000,HELP II,HELP USA,4807 WESTMINSTER AVE,Special Needs,50,,,
318,2000,Overington Transitional House,Overington Housing,1528 OVERINGTON ST,Special Needs,13,,,
319,2000,Reed Street SRO,Salvation Army,32nd & Reed,Special Needs,67,,,
320,2000,Universal Court II,Universal Community Homes,800 S 16TH ST,Rental,21,,,
321,2000,Taino Gardens,APM,2200 N 6TH ST,Rental,42,,,
322,2000,WCRP Berks Street,WCRP,vic. 6th & Berks,Rental,26,,,
323,2000,Dignity II Project,Dignity Housing,5151 WAYNE AVE,Special Needs,16,,,
324,2000,Haddington III,PCAH,Haddington - Scattered,Special Needs,20,,,
325,2000,V.A. Center,Philadelphia Veterans Center,213-17 4TH ST,Special Needs,,,,
326,1999,4th Street Access,"APM, 11260 Housing Development Corporation",1912-30 N 4TH ST,Special Needs,24,,,
327,1999,Casa Caribe 202,HACE,173-83 W ALLEGHENY AVE,Rental,52,,,
328,1999,Ephraim Goldstein Apartments,Jewish Federation,12003 BUSTLETON AVE,Rental,63,,,
329,1999,Haddington II,PCAH,Haddington - Scattered,Special Needs,28,,,
330,1999,Universal Court,Pennrose,"vic. 1400 Christian, Montrose, etc.",Rental,32,,,
331,1999,Belmont Affordable II,Thomas,4203 W GIRARD AVE,Rental,20,,,
332,1999,HELP I,HELP USA,4807 WESTMINSTER AVE,Special Needs,40,,,
333,1999,Horizon House I,Horizon House,246 S 12TH ST,Special Needs,9,,,
334,1999,Booth Manor,Phila Booth Manor,5522 ARCH ST,Rental,50,,,
335,1999,Brooks School,Ingerman,5631-43 HAVERFORD AVE,Rental,33,,,
336,1999,Calcutta House EXP,Calcutta House,1607 W GIRARD AVE,Special Needs,6,,,
337,1999,Bernice Arms/6000 Baltimore,Pennrose,6000 BALTIMORE AVE,Rental,46,,,
338,1999,Bethesda Transitional,Bethesda,816 S 20TH ST,Special Needs,16,,,
339,1999,Center City Y,"Ingerman, Center City Y",2027 CHESTNUT ST,Special Needs,60,,,
340,1999,Manor Glen,Evangelical Senior Housing,8401 E ROOSEVELT BLVD,Rental,50,,,
341,1998,Belmont Affordable,Thomas,905 BELMONT AVE,Rental,17,,,
342,1998,Blakestone Housing,GGHDC,6657 BLAKEMORE ST,Rental,19,,,
343,1998,Cecil B. Moore Village,"Ingerman, Regis Group",1614 N 16TH ST,Rental,34,,,
344,1998,Imani Homes,PEC,4115 BARING ST,Special Needs,24,,,
345,1998,Jameson Court,West Mill Creek Associates II,4435 PARRISH ST,Rental,72,,,
346,1998,Johnnie Tillmon Homes,WCRP,1327 N ORIANNA ST,Rental,21,,,
347,1998,Port Richmond,Octavia Hill,2423-29 E CAMBRIA ST,Rental,32,,,
348,1998,Preston Street,11260 Housing Development Corporation,418-28 N PRESTON ST,Special Needs,7,,,
349,1998,Reed Street,11260 Housing Development Corporation,501 REED ST,Special Needs,18,,,
350,1998,Rowan House,PEC,vic. 39th & Baring,Special Needs,26,,,
351,1998,South 55th Street,S. 55th Street L.P.,800 S 55TH ST,Rental,20,,,
352,1998,Spencer's Place,Pennrose,716-30 N 36TH ST,Rental,22,,,
353,1998,St. Columba's,Project HOME,4133 CHESTNUT ST,Special Needs,40,,,
354,1998,St. Joseph's,Kahan/Franklin Capital,1527 W ALLEGHENY AVE,Rental,62,,,
355,1998,Station House,Ingerman,2601 N BROAD ST,Special Needs,108,,,
356,1998,Villas del Caribe,HACE,161-71 W ALLEGHENY AVE,Rental,81,,,
357,1998,Yorktown Arms,Yorktown CDC,vic. 13th & Master,Rental,56,,,
358,1998,Kings Village,Altman,2737 TITAN ST,Rental,21,,,
359,1998,My Brothers House,Bethesda,609 S 15TH ST,Special Needs,1,,,
360,1998,Sarah Allen III Senior,Friends Rehabilitation Program,vic. 41st & Brown,Rental,87,,,
361,1998,Sarah Allen IV,Friends Rehabilitation Program,vic. 41st & Brown,Rental,40,,,
362,1998,Thompson/Walnut Initiative,1260 Housing Development Corporation,vic. Walnut & Thompson,Special Needs,35,,,
363,1997,81 E High,Resources for Human Development,81 HIGH ST,Special Needs,15,,,
364,1997,Brentwood,"Pennrose, Jim Brown",4120 PARKSIDE AVE,Rental,44,,,
365,1997,Diamond III,Pennrose,3200 DIAMOND ST,Rental,35,,,
366,1997,Edgewood Manor II,"Ingerman, Reisner",1508 W ALLEGHENY AVE,Rental,56,,,
367,1997,Hawthorne IV,Hawthorne CDC,1236 CATHARINE ST,Rental,4,,,
368,1997,Hope Haven II,Project HOME,2825 DIAMOND ST,Special Needs,10,,,
369,1997,Jardines de Borinquen II,APM,2016 MARSHALL ST,Rental,45,,,
370,1997,Lehigh Park II,Canus,2622 N LAWRENCE ST,Rental,48,,,
371,1997,Mansion Court II,Pennrose,2000 N 32ND ST,Rental,19,,,
372,1997,Projecto Escalera,APM,2353 GERMANTOWN AVE,Special Needs,27,,,
373,1997,Tioga Gardens,"Clergy, Pennrose",1801 W TIOGA ST,Rental,33,,,
374,1996,Artist Village,"Regis Group, SOSNA",700 S 17TH ST,Rental,36,,,
375,1996,Genesis II,Genesis/Tara,1239 SPRING GARDEN ST,Special Needs,20,,,
376,1996,Hestonville,"Phila NHS, Ingerman",5400 LANSDOWNE AVE,Rental,30,,,
377,1996,Kan/Karp (Kot Properties),Kan/Karp,Kensington - Scattered,Rental,10,,,
378,1996,Kearsley,Kearsley/Christ Ch Hosp,2100 N 49TH ST,Rental,60,,,
379,1996,Lower Germantown II,GGHDC,50 COLLOM ST,Rental,34,,,
380,1996,Ogontz III,OARC,7100 OGONTZ AVE,Rental,15,,,
381,1996,St. Elizabeth's,Project HOME,1850 N CROSKEY ST,Special Needs,24,,,
382,1996,Tasker Village,Pennrose,1508-40 S 16TH ST,Rental,28,,,
383,1996,1515 Fairmount,Project HOME,1515 FAIRMOUNT AVE,Special Needs,48,,,
384,1996,Haddington I,PCAH,Haddington - Scattered,Special Needs,21,,,
385,1995,Adolfina Villanueva II,WCRP,719-35 W SOMERSET ST,Rental,30,,,
386,1995,Fairmount,Ingerman,717 N 16TH ST,Rental,33,,,
387,1995,Germantown YMCA,Germantown Y,5722 GREENE ST,Special Needs,128,,,
388,1995,Gratz Commons,ACDC,2122 N GRATZ ST,Rental,39,,,
389,1995,Grays Ferry,Michaels Development,3100-50 WHARTON ST,Rental,70,,,
390,1995,Jardines del Borinquen I,APM,2024 N 6TH ST,Rental,45,,,
391,1995,Lehigh Park I,Canus,2600-20 N LAWRENCE ST,Rental,29,,,
392,1995,Los Balcones,Norris Square,100 W NORRIS ST,Rental,21,,,
393,1995,Lower Germantown I,GGHDC,Scattered,Rental,50,,,
394,1995,Mansion Court I,Pennrose,1800 N 32ND ST,Rental,31,,,
395,1995,Model Cities #6,Michaels Development,2200 N 13TH ST,Rental,70,,,
396,1995,Sarah Allen II,Friends Rehabilitation Program,4035 PARRISH ST,Rental,36,,,
397,1995,Youthbuild - Point Breeze,"Octavia Hill, Youthbuild",Point Breeze,Rental,22,,,
398,,Capacity Building Grant,11260 Housing Development Corporation,3512 N BROAD ST,Special Needs,3,,,
399,,Capacity Building Grant,HERO Inc,3338 N GRATZ ST,Special Needs,1,,,
400,,Capacity Building Grant,Interact,486 GREEN LN,Special Needs,8,,,
401,,Capacity Building Grant,PCAH,59 N FELTON ST,Special Needs,1,,,
