Incident Date,Complaint ID,Date Received,District,Classification,Summary
1/31/20,20-0308,2020-06-22 04:00:00+00,9,SEXUAL CRIME/MISCONDUCT,"The complainant alleged that on 1-31-20 at 9:43PM, a supervisor violated several police department policies while in the confines of the 9th District."
,19-0177,2019-04-25 04:00:00+00,9,HARASSMENT,"According to the complainant, on two separate occasions in 2018 a Sergeant assigned to the 26th District violated departmental policies."
9/15/20,20-0485,2020-09-17 04:00:00+00,9,LACK OF SERVICE,"According to the complainant, on 9-15-20 at 1:05 AM, they did not receive proper service from an unknown officer within the confines of the 9th District."
8/14/20,20-0503,2020-10-01 04:00:00+00,9,PHYSICAL ABUSE,"According to the complainant, on 8-14-20 at 7:00 AM, they were physically abused by an officer while in the confines of the 9th District."
9/24/20,20-0505,2020-10-01 04:00:00+00,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-24-20 at 8:09 PM, departmental policies were violated by 14th District officers while in the confines of the 9th District."
3/13/20,21-0111,2021-03-12 05:00:00+00,9,CIVIL RIGHTS COMPLAINT,"On 3-13-20 at 11:45 PM, while in the confines of the 9th District, the complainant was improperly issued a ticket for smoking in an area where there are no visible signs that stated smoking was prohibited. The complainant believes that the officer ticketed them because of their race."
6/23/20,20-0335,2020-06-24 04:00:00+00,9,PHYSICAL ABUSE,"According to the complainant, on 6-23-20, departmental policies were violated and they were physically abused by an officer while in the confines of the 9th District."
4/25/19,19-0192,2019-05-02 04:00:00+00,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-25-19 at 11:10 AM, an unknown 9th District officer failed to follow departmental policy."
3/18/21,21-0134,2021-03-24 04:00:00+00,9,DEPARTMENTAL VIOLATIONS,"The complainant states an officer violated departmental policies and did not provide proper service while in the confines of the 9th District. According to the complainant, on 3-18-21 at 2:30 PM, they approached an officer and informed them of an incident that had just occurred. The complainant states they gave the officer information in regards to the incident. The officer asked the complainant to repeat some facts and began a hostile interrogation of them. The complainant states that the officer was not wearing a mask or socially distancing. The complainant asked the officer why they were interrogating them. The officer then mocked them for being a good citizen. The complainant states that officer continued to mock them as they walked away."
7/28/18,18-0372,2018-08-02 04:00:00+00,9,LACK OF SERVICE,"According to the complainant, on 7-28-18 at 4:20pm, they did not receive proper service from officers assigned to the 9th District."
7/29/18,18-0393,2018-08-14 04:00:00+00,9,LACK OF SERVICE,"According to the complainant, on 7-29-18, they did not receive proper service from officers assigned to the 9th District."
11/3/19,19-0581,2019-11-06 05:00:00+00,9,PHYSICAL ABUSE,"According to the complainant, on 11-03-19, they were physically abused and falsely arrested by officers within the confines of the 9th District."
11/10/20,20-0583,2020-11-17 05:00:00+00,9,UNPROFESSIONAL CONDUCT,"According to the complainant, on 11-10-20 at 8:00 PM, a police car was driving very aggressively behind them and realized that that officer was pulling them over. The police car stayed behind the complainant¿s vehicle for about five minutes, before pulling up alongside of them very slowly and shining a light in their face. A voice came over the PA system from the police vehicle and loudly said to put your hands on the wheel, several times. The voice, then said, ¿Don¿t make me give you a citation for aggressive driving.¿ The police vehicle then sped off."
11/7/20,20-0584,2020-11-17 05:00:00+00,9,PHYSICAL ABUSE,"According to the complainant, on 11-7-20 at 11:44 PM, the complainant was slapped and punched in the face by an officer. The complainant was then tackled and jumped by more than six officers. The complainant was also punched and kicked by officers. Officers on location claimed that their body cameras were dead. The complainant at one point was lifted and slammed to the ground by an officer, causing several teeth to crack."
11/7/20,20-0585,2020-11-17 05:00:00+00,9,PHYSICAL ABUSE,"According to the complainant, on 11-7-20 at 7:00 PM, they observed a person attempt to climb a traffic pole when officers yanked the person down, without any warning. The complainant states the person sustained injuries to both arms and fled from the officers."
10/23/19,19-0580,2019-11-06 05:00:00+00,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-23-19 at 1:50 PM, they were verbally abused and departmental policy was violated by an officer assigned to the 9th District."
11/1/19,19-0588,2019-11-07 05:00:00+00,9,LACK OF SERVICE,"According to the complainant, on 11/1/19 at 11:27 PM, they did not receive proper service from an officer within the confines of the 9th District."
8/6/18,18-0400,2018-08-15 04:00:00+00,9,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 8-6-18 at 4:00pm, they were profiled by an officer assigned to the 9th District."
12/19/18,19-0301,2019-06-24 04:00:00+00,9,LACK OF SERVICE,"According to the complainant, on 12-19-18 at 7:57 PM, they did not receive proper service from an unknown officer in the 9th District."
6/24/19,19-0307,2019-06-28 04:00:00+00,9,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 6-24-19 at 12:40 PM, they did not receive proper service from 9th District officers."
6/27/19,19-0313,2019-07-02 04:00:00+00,9,PHYSICAL ABUSE,"According to the complainant, on 6-27-19 at 5:10 PM, they were physically abused by officers assigned to the 9th District."
11/22/20,20-0601,2020-11-30 05:00:00+00,9,UNPROFESSIONAL CONDUCT,"According to the complainant, on 11-22-20 at 12:30 AM, they called 911 because of a frightening encounter with their spouse. The complainant states that the responding officer was rude and dismissive towards them and their situation. The complainant further states that the officer questioned them as to why they called 911 and made a sexist remark about their situation."
9/16/19,19-0614,2019-11-20 05:00:00+00,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-16-19 at 7:15 AM, an officer did not follow proper procedure while in the confines of the 9th District."
11/14/19,19-0624,2019-11-22 05:00:00+00,9,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 11-14-19 at 6:45 PM, they were improperly stopped and searched, departmental policies were violated, and they were racially profiled by an officer assigned to the 9th District."
8/27/18,18-0436,2018-09-06 04:00:00+00,9,VERBAL ABUSE,"According to the complainant, on 8-27-18 at 9:30pm, they were verbally abused by officers assigned to the Center City District."
7/22/18,18-0448,2018-09-12 04:00:00+00,9,UNPROFESSIONAL CONDUCT,"According to the complainant, on 7-22-18 at 2:00pm, they were verbally abused by an officer assigned to the Center City District."
12/2/20,20-0615,2020-12-07 05:00:00+00,9,LACK OF SERVICE,"According to the complainant, on 12-2-20 at 2:00 PM, they were treated unprofessionally and did not receive proper service from an officer while in the confines of the 9th District. They were struck in the stomach by a vehicle. The operator exited the vehicle and attempted to assault them. Officers arrived, and pulled the operator off of them. The complainant states that the officer then allowed the operator to get back into the vehicle and leave the scene. The officer did no help the complainant, acted obnoxious and offered them no recourse. The officer was smoking a cigar throughout the entire incident. The complainant states that they went to the police district to file a report. The complainant also added that they have video of the incident."
11/25/19,19-0648,2019-12-06 05:00:00+00,9,PHYSICAL ABUSE,"According to the complainant, on 11-25-19 at 3:45 PM, departmental policies were violated, they were not provided with proper service and were threatened by an officer assigned to the 9th District and a supervisor assigned to the Center City District."
7/24/19,19-0367,2019-08-21 04:00:00+00,9,LACK OF SERVICE,"According to the complainant, 7-24-19 at 9:28 PM, they did not receive proper service from unknown officers within the confines of the 2nd District."
,19-0674,2019-12-31 05:00:00+00,9,DOMESTIC,A complaint of violation of a court order was received in reference to civil proceedings which involved an officer from Northwest Detectives.
8/7/19,19-0389,2019-08-12 04:00:00+00,9,UNPROFESSIONAL CONDUCT,"According to the complainant, on 8-7-19 at 8:51 AM, they were treated unprofessionally by an officer assigned to the Traffic Unit while in the confines of the 9th District."
,20-0636,2020-12-22 05:00:00+00,9,CRIMINAL ALLEGATION,"Everyday, according to the complainant, 9th District officers illegally park their vehicles. On one occasion, an officer threatened their life to discourage them from filing a complaint."
11/3/18,18-0543,2018-11-12 05:00:00+00,9,LACK OF SERVICE,"According to the complainant, on 11-3-18 at 11:45pm, they did not receive proper service from officers assigned to the 9th District."
11/10/18,18-0546,2018-11-14 05:00:00+00,9,UNPROFESSIONAL CONDUCT,"According to the complainant, on 11-10-18, they were treated unprofessionally by an officer assigned to the 9th District."
11/8/18,18-0549,2018-11-16 05:00:00+00,9,LACK OF SERVICE,"According to the complainant, on 11-8-18 at 6:45am, they did not receive proper service from an officer assigned to Center City District."
8/14/19,19-0423,2019-08-28 04:00:00+00,9,UNPROFESSIONAL CONDUCT,"According to the complainant, on 8-14-19 at 2:15 PM, they were verbally abused and treated unprofessionally by an officer while in the confines of the 9th District."
1/6/21,21-0007,2021-01-11 05:00:00+00,9,LACK OF SERVICE,"According to the complainant, on 1-6-21 at 10:30 PM, the complainant called 911 in reference to a noisy truck. The 911 dispatcher collected and confirmed the information provided by the complainant but then said that they could not understand the complainant¿s English. The complainant was transferred to a translator who understood the complainant¿s English, but forced the complainant to speak in French. When the complainant continued to speak in English, the dispatcher concluded that the complainant did not need any help and disconnected the call. The complainant believes that this was done in an effort to humiliate him."
11/22/18,18-0587,2018-11-30 05:00:00+00,9,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 11-22-18 at 8:15 AM, their civil rights were violated by an officer assigned to the 9th District."
2/24/20,20-0097,2020-03-04 05:00:00+00,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-24-20 at 12:30 PM, unknown officers abused their authority, harassed and verbally abused him."
3/8/20,20-0114,2020-03-12 04:00:00+00,9,PHYSICAL ABUSE,"According to the complainant, on 3-8-20 at 9:00 PM, they were physically abused by a sergeant while in the confines of the 9th District."
,18-0617,2018-12-28 05:00:00+00,9,LACK OF SERVICE,"According to the complainant, in October 2018, they did not receive proper service from a detective assigned to Central Detective Division."
9/18/19,19-0489,2019-09-24 04:00:00+00,9,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 9-18-19 at 9:30 AM, their civil rights were violated and proper police procedures were not followed by a 9th District officer."
,21-0026,2021-01-20 05:00:00+00,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on an unknown date and time, they witnessed three officers not wearing facemasks while on duty. The complainant states that one of the officers had previously had a mask on but ripped it off in response to the complainants remarks."
1/21/21,21-0032,2021-01-27 05:00:00+00,9,HARASSMENT,"According to the complainant, they were harassed by an officer while in the confines of the 9th District. On 1-21-21 at 3:00 PM, the officer used a speaker to yell names at them. The officer yelled names of family members, yelled child molester and also yelled child pornography. The complainant states that the officer is related to an ex-family member. The complainant states that the officer has been harassing them by communication for years."
3/13/20,20-0137,2020-03-18 04:00:00+00,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-13-20, they were improperly arrested by an officer assigned to the 9th District."
1/14/19,19-0021,2019-01-23 05:00:00+00,9,UNPROFESSIONAL CONDUCT,"According to the complainant, on 01-14-19, they were verbally abused by an officer assigned to the 9th District."
1/30/19,19-0033,2019-02-04 05:00:00+00,9,VERBAL ABUSE,"According to the complainant, on 1-30-19 at 12:05pm, they were treated unprofessionally and improperly stopped by an officer assigned to the 9th District."
2/15/19,19-0050,2019-02-25 05:00:00+00,9,UNPROFESSIONAL CONDUCT,"According to the complainants, on 2-15-19, they were treated unprofessionally by a sergeant assigned to the 9th District."
4/15/22,22-0153,2022-04-19 04:00:00+00,9,PHYSICAL ABUSE,"According to the complainant, on 4-15-22 at 10:50 AM, while in the confines of the 9th District, they served a Civil Action Complaint in a building and then left. The complainant states that after they walked out of the building, an unknown Police Officer grabbed their left arm, spun them around and forcibly shoved the Civil Action Complaint under their arm. The complainant states that the officer then walked back into the building."
11/26/16,21-0551,2021-11-22 05:00:00+00,9,LACK OF SERVICE,"According to the complainant, on 11-26-16 at 11:14 AM, they filed a report for theft. The complainant states a supervisor and detective failed to properly investigate the incident. The complainant states they have made several reports at the 22nd District and 9th District, but no one takes action or investigates the incident."
5/4/21,21-0259,2021-05-25 04:00:00+00,9,CRIMINAL ALLEGATION,"According to the complainant, on 5-4-21 at 7:15 PM, while in the confines of the 9th District, an unknown officer violated departmental policies. While crossing the street to sit at an outdoor dining venue, a patrol car struck them and left the scene. The complainant states that their foot was run over and their leg was struck. The complainant states they did not call 911; however, an ambulance was called but they refused treatment. The complainant would like to be reimbursed for damage to their shoes and jeans."
4/24/21,21-0264,2021-05-26 04:00:00+00,9,VERBAL ABUSE,"According to the complainant, on 4-24-21 at 2:00 PM, while in the 9th District, two people assaulted them. The complainant states an individual on a bicycle arrived and managed to diffuse the situation. While the individual on the bicycle spoke to the complainant, officers arrived on foot. The complainant states that none of the arriving officers spoke to the offenders. The complainant states that the individual on the bicycle asked them for identification, said they would file a report and later provided them with a DC number. The complainant further states that when they went to the 9th District to file another report, they were laughed at and mocked by an officer as they recounted the story."
4/20/22,22-0162,2022-04-25 04:00:00+00,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-20-22 at 7:15 AM, while in the area of the Art Museum, they noticed an officer texting while driving a patrol car. The complainant states that the officer continued texting, while driving on two lanes, speeding and putting their turn signal on without actually turning."
4/16/22,22-0167,2022-04-26 04:00:00+00,9,LACK OF SERVICE,"According to the complainant, on 4-16-22, while in the confines of the 9th District, they did not receive proper service from unknown 9th District officers. They broke up a fight between people. The complainant states that the same people frequent the area, congregate, drink alcohol and do drugs. The complainant has spoken to officers stationed at the park and the 9th District in regards to the nuisance. The complainant states that the officers do not do anything to prevent the situations from escalating such as enforcing regulations against public intoxication."
9/8/21,21-0559,2021-11-24 05:00:00+00,9,UNPROFESSIONAL CONDUCT,"According to the complainant, on 9-8-21, an officer assigned to the Traffic District, violated departmental policies while in the confines of the 9th District. While picking up customers for a ride sharing company, the officer honked their horn. The complainant rolled their window down to speak to the officer. At the same time, the customers were entering the vehicle and placing a suitcase in the trunk. The officer told the complainant that they needed to pull over to pick up passengers and that they were holding up traffic. The complainant states they could not pull over, as they were already entering the vehicle. When the light turned green, the complainant proceeded down the street. The officer activated their overhead lights and pulled the complainant over. The officer then wrote and threw a ticket in the window without ever asking for their license or registration."
12/1/21,21-0568,2021-12-06 05:00:00+00,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-1-21 at 9:45 PM, they called a detective division to inquire about a report they filed with police. The complainant spoke to a detective who refused to give their name and badge number. The detective told the complainant that their case was never assigned and repeatedly hung up on them."
12/5/21,21-0571,2021-12-07 05:00:00+00,9,PHYSICAL ABUSE,"According to the complainant, on 12-5-21 at 2:00 AM, while in the confines of the 9th District, officers responded to a disturbance. The complainant states that one of the officers escalated the situation by having a screaming match with individuals on location. When the complainant asked the officer for their name and badge number, the officer said, ¿Figure it out. It¿s right here.¿ The officer returned to their patrol car. The complainant approached the officer, while the door was still open, and again asked for their information. The officer hit the complainant with the door as they attempted to shut it. The complainant states that when they told the officer not to hit them with the door, the officer exited the vehicle and said, ¿Get the f*ck away.¿ The officer then shoved the complainant on their chest. A second officer never intervened and refused to call for a supervisor when requested."
6/11/21,21-0300,2021-06-23 04:00:00+00,9,VERBAL ABUSE,"According to the complainant, on 6-11-21 at 2:30 PM, while in the confines of the 9th District, they were stopped by two officers. The complainant states that one of the officers yelled at them and asked why they were being difficult. The officer also said that the complainant needs to respect them and because they are police officers, they can do whatever they want. The complainant states that the officer tried to slam the door on their foot."
1/16/22,22-0025,2022-01-26 05:00:00+00,9,LACK OF SERVICE,"According to the complainant, on 1-16-22 at 11:00 AM, while in the confines of the 9th District, they were assaulted by an unknown person. When the complainant screamed for help another person approached, asked if they were okay and told them that they were also assaulted by the same person. The complainant called 911; however, no officer responded. The complainant states that the other victim approached a patrol car that was parked nearby and attempted to report the incident but the officer told them that they were only there for the construction."
12/6/21,21-0591,2021-12-16 05:00:00+00,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-6-21 at 6:00 PM, while in the confines of the 9th District, departmental policies were violated by an officer. The officer contacted them through a social media text message. In the message, the officer wrote that their significant other knows about their restraining order. The complainant believes that the officer accessed the departmental computer system to gain this information."
,21-0597,2021-12-20 05:00:00+00,9,LACK OF SERVICE,"According to the complainant, on an unspecified date, while in the confines of the 9th District, a detective falsified an arrest warrant and failed to properly investigate a matter concerning malicious emails sent to a Philadelphia Judge, whom the officer¿s family member was alleged to have worked for at the time."
1/26/22,22-0036,2022-01-28 05:00:00+00,9,LACK OF SERVICE,"According to the complainant, on behalf of their spouse, states that on 1-26-22 at 2:45 PM, while in the confines of the 9th District, they did not receive proper service from an unknown dispatcher. Their spouse was attacked by an unknown person. The complainant¿s spouse called 911 and reported the crime to a dispatcher. At 3:11 PM, as the complainant drove to meet their spouse, they also called 911 and reported the crime. The complainant and their spouse called 911 two more times; however, no officers ever responded. The complainant¿s spouse also attempted to flag down a patrol car, but no one stopped."
5/25/21,21-0318,2021-06-30 04:00:00+00,9,PHYSICAL ABUSE,"According to the complainant, on 5-25-21 at 7:15 PM, while in the confines of the 9th District, store management called 911 to have them removed because they refused to wear a mask. The complainant informed the management that they had a medial waiver but they still called police. When officers arrived, one of them escorted the complainant out of the store and bruised their arm in the process. The complainant was then falsely arrested by another officer."
2/3/22,22-0048,2022-02-07 05:00:00+00,9,LACK OF SERVICE,"According to the complainant, on 2-3-22 at 9:00 PM, while in the confines of the 9th District, they did not receive proper service from unknown officers operating a police wagon. They flagged down a police wagon. The complainant told the officers that a person was screaming and crying. An officer said, ¿We¿re transporting a prisoner. Call 911 if you need help.¿"
3/28/21,21-0147,2021-03-29 04:00:00+00,9,LACK OF SERVICE,"On 3-28-21 at 9:00 AM, while in the confines of the 9th District, the complainant called 911 to their place of employment, because of a person, who was threatening customers in front of the store. The complainant spoke to a dispatcher and was told that they would be sending officers out. The complainant called back and questioned how long before officers arrived since no one had arrived, the dispatcher hung up on them. The complainant called back again asking for a supervisor, the supervisor laughed and said that someone will be right over and then hung up the phone on them as well."
8/28/21,21-0455,2021-09-22 04:00:00+00,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-28-21 at 6:48 PM, while in the confines of the 9th District, they were stopped by police. At the time, the complainant was with their children, two of whom have a disability. The complainant states that the officer acted unprofessional and lacked empathy in regards to their children¿s needs. The complainant states that it was raining at the time and that the officer threatened to make them walk home but later allowed them to leave saying that it was due to ¿my main man in the back seat,¿ referring to one of the children. The complainant states that the officer did not issue them a ticket but they later discovered that two citations were mailed to their old address."
9/28/21,21-0467,2021-09-30 04:00:00+00,9,LACK OF SERVICE,"According to the complainant, on 9-28-21 at 3:42 PM, while in the confines of the 9th District, they noticed an individual who needed assistance and asked bike officers nearby to assist. The complainant states that the officers told them to help that individual and rode off. The complainant believes that one of the officers was a supervisor because they wore a white shirt."
9/16/20,21-0349,2021-07-20 04:00:00+00,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-16-20 at 8:10 PM, their family member was shot multiple times, while in the confines of the 9th District. The complainant states that officers ¿scooped¿ up their family member because there was still a chance that the family member could be saved. The complainant states that officers failed to transport their family member to the hospital in a timely manner which resulted in the family members death. The complainant further states that their family members body sat inside of the police vehicle for hours, at the crime scene."
,22-0079,2022-03-01 05:00:00+00,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, while in the confines of the 9th District, a family member passed away and a detective was assigned to the incident. The complainant states the detective released information to a non-family member, someone who claimed to be their spouse. The complainant states that they called two weeks after their family member¿s death with information that was found on the deceased family members phone, asking that the case be further investigated. The complainant states they were blown off and told that there was nothing else to be done. The complainant also states that the they feel that the detective lacked compassion when dealing with their family."
4/1/21,21-0177,2021-04-15 04:00:00+00,9,UNPROFESSIONAL CONDUCT,"According to the complainant, while in the confines of the 9th District, on 4-1-21 at 4:25 PM, their family member was stopped by police for allegedly going through a red light and then had their vehicle ¿Live-stopped¿ due to having a suspended license. The complainant states that the officers were smiling and laughing during this time, causing their family member anxiety. The complainant states that as the officers were driving past their family member, one of the officers held up a fist and said, ¿It¿s a nice day out¿."
4/14/21,21-0183,2021-04-19 04:00:00+00,9,UNPROFESSIONAL CONDUCT,"While in the confines of the 9th District, on 4-14-21 at 11:00 PM, the complainant called 911 to report that their property had been stolen by someone they met on a dating website. The complainant states that the responding officer acted unprofessionally and appeared to be in a bad mood already and talked to them as if they were wasting their time. As the complainant began telling the officer what happened, the officer began to get angrier, because they did not have all the details of the incident. The complainant felt that the officer was passing judgement on how they met the person; they kept rolling their eyes and sighing sardonically. The complainant alleged they did not receive the proper service."
11/24/19,21-0373,2021-08-05 04:00:00+00,9,PHYSICAL ABUSE,"According to the complainant, on 11-24-19 at 10:00 PM, while in the confines of the 9th District, they were arrested for allegedly shooting a firearm into an unoccupied building outside of a bar. The complainant states that during their arrest officers used excessive force on them. The complainant states that they were nearly blinded, and sustained two fractures on their face, permanent nerve damage and several teeth were knocked out."
10/19/21,21-0500,2021-10-28 04:00:00+00,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-19-21 at 12:50 PM, while in the confines of the 9th District, a detective did not conduct a proper investigation during an arrest and property was improperly confiscated."
10/21/21,21-0501,2021-10-26 04:00:00+00,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-21-21 at 7:00 AM, while in the confines of the 9th District, they noticed an officer beeping their horn every time the light turned green. The complainant states the officer was speeding, swerving in between cars, and made a wide turn before turning their lights on and pulling the complainant over. The complainant states the officer accused them of almost hitting their car. The complainant states the officer exited their car, yelling, and ¿got in their face¿ with spit coming out of their mouth. The complainant states that the officer called them a ¿stupid idiot,¿ and made them read the side of their car while making a racist remark. The complainant also states that the officers¿ body camera was off during this encounter and they refused to provide their rank and badge number."
4/28/21,21-0215,2021-05-10 04:00:00+00,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-28-21, they noticed five to six patrol vehicles and civilian vehicles parked in the bike lane while in the confines of the 9th District.  The complainant states they parked their vehicle, in a legal space, and returned to the location approximately 20 minutes later.  The complainant states that the officers were taking photos of themselves in front of a fountain and not there for official police business.  The complainant approached an officer, who was seated in the passenger seat of an unmarked vehicle, and reminded them that a person was killed in the area recently.  The complainant states that officer looked at them, with an indifferent look and said, ¿Ok¿, but failed to handle the parking situation.  The officers continued to take photographs of themselves.  The complainant states that they have witnessed police not obeying traffic laws on a weekly basis."
,21-0218,2021-05-10 04:00:00+00,9,LACK OF SERVICE,"According to the complainant, while within the confines of the 9th district, the detective that is assigned to a domestic assault case that they were involved in, is not handling the case properly. The complainant also states that the detective has hung up the phone on them and that the Detective Division has failed to re-assign their case."
5/14/21,21-0243,2021-05-18 04:00:00+00,9,UNPROFESSIONAL CONDUCT,"According to the complainant, on 5-14-21 at 6:10 PM, while traveling on a road in the confines of the 9th District, they were almost struck by another vehicle causing them to merge onto another lane. An officer then began to follow them. The officer was aggressive, irate and began to threaten them."
4/3/22,22-0144,2022-04-08 04:00:00+00,9,PHYSICAL ABUSE,"According to the complainant, on 4-3-22, while in the confines of the 9th District, they were released from the hospital and placed in police custody, after recovering from a bullet wound to their right leg. The complainant states that while they were being processed, an unknown officer threatened and pushed them against the wall. The complainant states that officer was impatient because they were walking slowly. The officer told the complainant to ""Shut the f**k up, I don't give a sh*t about your leg, I will drag you to your cell if I have to."""
4/4/22,22-0145,2022-04-08 04:00:00+00,9,VERBAL ABUSE,"According to the complainant, on 4-4-22 at 4:40 PM, they called the 9th District to report that their catalytic converter had been stolen from their car. The complainant states that the officer they spoke to was unbelievably rude to them. The complainant states that the officer was extremely impatient with them and said, ¿I am going to put you on hold, have the information ready.¿"
8/25/21,21-0426,2021-09-06 04:00:00+00,9,UNPROFESSIONAL CONDUCT,"According to the complainant, on 8-25-21 at 7:00 AM, they were verbally abused by an officer assigned to the Traffic Unit while in the confines of the 9th District. They were stopped for a traffic violation. The complainant states that the officer was disrespectful and condescending. The complainant believes that they were disrespected because they are white."
10/21/22,22-0501,2022-10-27 04:00:00+00,9,PHYSICAL ABUSE,"According to the complainant, on 10-21-22 at 8:00 PM, while in the confines of the 9th District, officers improperly stopped their family member and proceeded to grip and toss them around. The complainant states that when their family member began crying, one of the officers said, ¿Oh shut up it¿s not that serious.¿ The complainant further states that the officers treated their family member in a condescending and harassing manner."
10/9/22,22-0502,2022-10-27 04:00:00+00,9,VERBAL ABUSE,"According to the complainant, on 10-9-22 at 4:21 PM, while leaning on a pole, in the confines of the 9th District, an officer looked at them and proceeded to joke with several officers about them. The complainant states that the officer asked them if they wanted a ¿Jimmy,¿ also known as a condom. The complainant states that it means that they said to suck their d**k. The complainant further states that when they asked the officer why they would ask them to suck their d**k, all of the officers left the area."
3/7/21,22-0505,2022-10-28 04:00:00+00,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-7-21 at 11:20 AM, while in the confines of the 9th District, a detective filed false charges against them and failed to properly investigate the case against them, causing their false arrest."
7/4/22,22-0312,2022-07-11 04:00:00+00,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-4-22 at 11:00 PM, while in the confines of the 9th District, unknown SWAT officers performed an improper search. Officers broke into their apartment. The complainant states that the officers did not have a warrant and their firearm was taken."
7/10/22,22-0317,2022-07-18 04:00:00+00,9,VERBAL ABUSE,"According to the complainant, on 7-10-22 at 12:00 PM, while at the confines of the 9th District, an officer verbally abused them. The complainant states that the refused to allow them to make a report and said that they were gonna stay a deadbeat parent, with all their plans failing. The complainant also states that another officer refused to take their report in reference to an incident during their custody exchange."
7/15/22,22-0319,2022-07-19 04:00:00+00,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-15-22 at 7:00 PM, while in the confines of the 9th District, they were improperly stopped and harassed by two officers. They were stopped by officers for no reason. An officer interrogated them in regards to where they were coming from and where they were going. The officers accused the complainant of stealing packages from a street that they were not on."
5/15/22,22-0212,2022-05-23 04:00:00+00,9,LACK OF SERVICE,"According to the complainant, on 5-15-22 at 12:20 PM, while in the confines of the 9th District, they tried to report that their court order had been violated but officers refused to take their report."
5/17/22,22-0219,2022-05-23 04:00:00+00,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-17-22, while in the confines of the 9th District, their personal belongings were removed by a Parks and Recreation Officer at the direction of a Philadelphia Police Officer."
8/19/22,22-0398,2022-08-31 04:00:00+00,9,LACK OF SERVICE,"According to the complainant, on 8-19-22 at 10:30 AM, while in the confines of the 9th District, they did not receive proper service from an unknown officer. They called 911 to report a prior hit and run auto accident. The complainant states that they waited 7 hours for police, but no one came. The complainant later flagged down a patrol car and made the report, but was told by the officer that there is nothing they will do to find the operator of the striking vehicle."
5/17/22,22-0235,2022-05-31 04:00:00+00,9,CIVIL RIGHTS COMPLAINT,"According to the complainant, on behalf of an unknown person, on 5-17-22 at 9:32 AM, while in the confines of the 9th District; the unknown person¿s civil rights were violated by unknown officers. They noticed police officers along with sanitation officers remove a person¿s belongings. The complainant states that the person has been at the same location for approximately 16 months. The complainant states that the officers did not offer the person any aid or resources to help them."
9/13/22,22-0442,2022-09-27 04:00:00+00,9,LACK OF SERVICE,"According to the complainant, on 9-13-22 at 1:30 AM, they witnessed an attempted theft and called 911. The complainant gave the 911 operator a description of the vehicle involved. When the operator asked the complainant if they wanted to speak to an officer, the complainant said no. The complainant states that the operator failed to dispatch any officers to investigate the theft."
6/5/22,22-0251,2022-06-09 04:00:00+00,9,PHYSICAL ABUSE,"According to the complainant, on 6-5-22 at 12:00 PM, while in the confines of the 9th District, they were physically abused and harassed by a 9th District officer. They called 911 to report a violation of a custody agreement. The complainant states that they were physically abused by an officer. The complainant states that they have video of the incident."
9/14/22,22-0429,2022-09-20 04:00:00+00,9,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 9-14-22 at 5:25 PM, while in the confines of the 9th District, two officers violated the Clean Indoor Air Worker Protection Law. They witnessed two officers smoking at the Northeast edge of a city park directly next to a sign prohibiting smoking on city property. The complainant also states that police do not enforce the non-smoking rules on city property."
6/8/22,22-0253,2022-06-09 04:00:00+00,9,PHYSICAL ABUSE,"According to the complainant, on 6-8-22 at 9:00 PM, while in the confines of the 9th District, they were physically abused and property is missing by unknown officers. They were stopped by police. The complainant was ordered out of the vehicle and immediately handcuffed. The complainant then felt pain in their left shoulder and blacked out. The complainant woke up on the ground. The complainant was placed in the back of a police vehicle. At that time, the officers searched their vehicle. When the complainant was released, they noticed money was missing."
